%time,CO2air,co2_dos
43920.67708,799,0.0076
43920.68056,847,0.0082
43920.68403,899,0.0087
43920.6875,1019,0.0093
43920.69097,933,0.0062
43920.69444,875,0.0031
43920.69792,829,0
43920.70139,833,0.0006
43920.70486,879,0.0011
43920.70833,907,0.0017
43920.71181,898,0.0011
43920.71528,829,0.0006
43920.71875,774,0
43920.72222,672,0
43920.72569,668,0
43920.72917,633,0
43920.73264,564,0
43920.73611,564,0
43920.73958,553,0
43920.74306,517,0
43920.74653,506,0
43920.75,504,0
43920.75347,497,0
43920.75694,490,0
43920.76042,498,0
43920.76389,473,0
43920.76736,476,0
43920.77083,465,0
43920.77431,475,0
43920.77778,473,0
43920.78125,477,0
43920.78472,459,0
43920.78819,452,0
43920.79167,455,0
43920.79514,475,0
43920.79861,464,0
43920.80208,461,0
43920.80556,451,0
43920.80903,456,0
43920.8125,457,0
43920.81597,468,0
43920.81944,470,0
43920.82292,472,0
43920.82639,476,0
43920.82986,481,0
43920.83333,481,0
43920.83681,478,0
43920.84028,479,0
43920.84375,483,0
43920.84722,474,0
43920.85069,484,0
43920.85417,481,0
43920.85764,490,0
43920.86111,502,0
43920.86458,497,0
43920.86806,502,0
43920.87153,509,0
43920.875,498,0
43920.87847,506,0
43920.88194,506,0
43920.88542,514,0
43920.88889,542,0
43920.89236,515,0
43920.89583,522,0
43920.89931,520,0
43920.90278,528,0
43920.90625,529,0
43920.90972,551,0
43920.91319,534,0
43920.91667,537,0
43920.92014,570,0
43920.92361,584,0
43920.92708,581,0
43920.93056,544,0
43920.93403,548,0
43920.9375,587,0
43920.94097,579,0
43920.94444,545,0
43920.94792,572,0
43920.95139,587,0
43920.95486,603,0
43920.95833,567,0
43920.96181,603,0
43920.96528,566,0
43920.96875,609,0
43920.97222,573,0
43920.97569,572,0
43920.97917,598,0
43920.98264,617,0
43920.98611,590,0
43920.98958,611,0
43920.99306,590,0
43920.99653,615,0
43921,583,0
43921.00347,663,0.0014
43921.00694,730,0.0029
43921.01042,810,0.0043
43921.01389,916,0.0056
43921.01736,941,0.007
43921.02083,916,0.0083
43921.02431,860,0.0065
43921.02778,890,0.0048
43921.03125,968,0.003
43921.03472,926,0.002
43921.03819,885,0.001
43921.04167,890,0
43921.04514,962,0.0005
43921.04861,976,0.001
43921.05208,937,0.0015
43921.05556,902,0.0014
43921.05903,885,0.0014
43921.0625,940,0.0013
43921.06597,956,0.0011
43921.06944,923,0.0009
43921.07292,898,0.0007
43921.07639,895,0.001
43921.07986,910,0.0013
43921.08333,887,0.0015
43921.08681,939,0.0019
43921.09028,970,0.0022
43921.09375,887,0.0026
43921.09722,945,0.0021
43921.10069,934,0.0016
43921.10417,898,0.0011
43921.10764,899,0.0016
43921.11111,954,0.0021
43921.11458,945,0.0027
43921.11806,921,0.0021
43921.12153,898,0.0016
43921.125,896,0.001
43921.12847,947,0.0013
43921.13194,944,0.0016
43921.13542,927,0.0018
43921.13889,896,0.0016
43921.14236,902,0.0013
43921.14583,912,0.0011
43921.14931,896,0.0015
43921.15278,913,0.002
43921.15625,945,0.0025
43921.15972,932,0.0021
43921.16319,907,0.0017
43921.16667,898,0.0013
43921.17014,932,0.0018
43921.17361,953,0.0022
43921.17708,950,0.0027
43921.18056,923,0.0021
43921.18403,892,0.0015
43921.1875,916,0.0008
43921.19097,923,0.0013
43921.19444,929,0.0018
43921.19792,943,0.0023
43921.20139,923,0.002
43921.20486,900,0.0018
43921.20833,934,0.0016
43921.21181,934,0.0014
43921.21528,937,0.0013
43921.21875,907,0.0012
43921.22222,884,0.0016
43921.22569,937,0.002
43921.22917,945,0.0025
43921.23264,921,0.002
43921.23611,904,0.0016
43921.23958,869,0.0011
43921.24306,967,0.0014
43921.24653,950,0.0016
43921.25,931,0.0019
43921.25347,882,0.002
43921.25694,932,0.0022
43921.26042,942,0.0023
43921.26389,923,0.0018
43921.26736,884,0.0014
43921.27083,912,0.0009
43921.27431,906,0.0016
43921.27778,875,0.0023
43921.28125,991,0.0031
43921.28472,922,0.0033
43921.28819,901,0.0034
43921.29167,876,0.0036
43921.29514,918,0.0036
43921.29861,940,0.0036
43921.30208,913,0.0036
43921.30556,885,0.0033
43921.30903,893,0.003
43921.3125,940,0.0027
43921.31597,906,0.0024
43921.31944,907,0.0022
43921.32292,885,0.0019
43921.32639,909,0.002
43921.32986,927,0.0022
43921.33333,907,0.0024
43921.33681,902,0.0024
43921.34028,914,0.0024
43921.34375,916,0.0024
43921.34722,887,0.0033
43921.35069,930,0.0042
43921.35417,968,0.0051
43921.35764,971,0.0045
43921.36111,950,0.0039
43921.36458,930,0.0033
43921.36806,905,0.0043
43921.37153,882,0.0053
43921.375,923,0.0063
43921.37847,945,0.0072
43921.38194,906,0.008
43921.38542,921,0.0088
